id,list_price,list_price_2,selling_price,quantity,bonus_coefficient,discount_coefficient,minimum_quantity,maximum_quantity,stock_available,timestamp,offer_id,product_id,suboffer_id
68,5230.00,0.00,0.00,0,1.00,1.00,0,1000,970,2024-11-07 20:50:09.882777+00,19,70,23
211,4486.68,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-09-05 17:56:19.345138+00,33,188,43
212,4876.32,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-09-05 17:56:19.350842+00,33,189,43
213,5468.76,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-09-05 17:56:19.355329+00,33,191,43
84,17574.00,0.00,0.00,0,1.00,1.00,0,100,983,2024-09-10 15:40:33.015722+00,23,549,28
216,11900.00,0.00,0.00,0,1.00,1.00,2,1000,1000,2024-09-08 22:13:00.262401+00,34,592,44
86,7979.72,0.00,0.00,0,1.00,1.00,0,1000,9990,2024-09-09 11:50:18.923899+00,20,331,25
227,4486.68,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-10 22:09:23.952254+00,39,188,49
79,10114.70,0.00,0.00,0,1.00,1.00,0,200,971,2024-09-10 19:42:40.137364+00,22,550,27
228,4876.32,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-10 22:09:23.95963+00,39,189,49
220,14422.80,0.00,0.00,0,1.00,1.00,0,10000,10000,2024-09-11 13:20:43.869868+00,35,555,45
221,16895.30,0.00,0.00,0,1.00,1.00,0,10000,10000,2024-09-11 13:20:43.877612+00,35,552,45
222,19779.80,0.00,0.00,0,1.00,1.00,0,10000,10000,2024-09-11 13:20:43.885271+00,35,553,45
224,9532.64,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-11 13:26:39.200165+00,37,571,47
223,8601.42,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-11 13:31:35.362155+00,36,566,46
225,6613.67,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-11 13:32:06.160066+00,38,568,48
226,8444.43,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-11 13:32:06.167676+00,38,569,48
116,14430.00,0.00,0.00,0,1.00,1.00,0,1000,9999,2024-09-11 15:44:59.085378+00,26,437,35
88,22627.00,0.00,0.00,0,1.00,1.00,0,1000,9999,2024-09-11 20:57:44.330302+00,12,470,16
89,9178.13,0.00,0.00,0,1.00,1.00,0,1000,9999,2024-09-12 16:07:26.404592+00,24,551,29
96,17574.00,0.00,0.00,0,1.00,1.00,0,1000,9994,2024-09-12 16:07:26.431031+00,24,549,30
95,12839.90,0.00,0.00,0,1.00,1.00,0,1000,9998,2024-09-12 16:07:26.434968+00,24,546,30
107,10337.90,0.00,0.00,0,1.00,1.00,0,1000,9993,2024-09-12 22:40:08.733425+00,25,132,33
105,9329.14,0.00,0.00,0,1.00,1.00,0,1000,9924,2024-09-12 22:40:08.741429+00,25,129,33
66,7004.00,0.00,0.00,0,1.00,1.00,0,1000,945,2024-11-07 20:50:09.88879+00,19,71,23
229,5468.76,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-10 22:09:23.965594+00,39,191,49
230,7382.84,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-10 22:09:23.971824+00,39,192,49
231,9266.38,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-10 22:09:23.977597+00,39,193,49
232,12839.90,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-11 14:13:36.325308+00,40,546,50
233,17574.00,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-11 14:13:36.332651+00,40,549,50
234,25691.20,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-09-11 14:13:36.339327+00,40,547,50
91,10114.70,0.00,0.00,0,1.00,1.00,0,1000,9990,2024-09-12 16:07:26.409998+00,24,550,29
92,13111.60,0.00,0.00,0,1.00,1.00,0,1000,9984,2024-09-12 16:07:26.413816+00,24,555,29
93,15359.30,0.00,0.00,0,1.00,1.00,0,1000,9988,2024-09-12 16:07:26.41665+00,24,552,29
110,4486.68,0.00,0.00,0,1.00,1.00,0,1000,9994,2024-09-12 22:40:08.764892+00,25,188,34
112,4876.32,0.00,0.00,0,1.00,1.00,0,1000,9987,2024-09-12 22:40:08.771178+00,25,189,34
306,6895.20,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-12-02 13:33:16.720744+00,55,619,75
251,6006.61,0.00,0.00,0,1.00,1.00,0,99999999,939,2025-01-14 16:39:59.415655+00,45,135,56
258,6430.00,0.00,0.00,0,1.00,1.00,0,99999999,9970,2025-07-14 21:03:57.021188+00,47,9,59
249,7759.09,0.00,0.00,0,1.00,1.00,0,99999999,1000,2024-12-16 13:08:18.171313+00,45,183,56
312,8234.00,0.00,0.00,0,1.00,1.00,0,99999999,10000,2025-02-24 13:12:13.870274+00,55,622,78
350,25838.00,0.00,0.00,0,1.00,1.00,0,99999999,10000,2025-02-05 13:47:31.151922+00,59,450,99
252,15471.10,0.00,0.00,0,1.00,1.00,0,99999999,918,2024-12-02 17:00:43.000027+00,46,124,57
302,24969.60,0.00,0.00,0,1.00,1.00,0,99999999,9995,2024-12-17 16:01:37.315921+00,52,352,72
427,13714.00,0.00,0.00,0,1.00,1.00,0,99999999,1000,2025-03-06 15:31:55.577164+00,70,589,121
411,15225.00,0.00,0.00,0,1.00,1.00,0,99999999,99826,2025-05-28 05:00:16.802984+00,66,774,117
304,8234.00,0.00,0.00,0,1.00,1.00,0,99999999,9950,2025-02-24 15:14:08.015989+00,54,622,73
527,25920.00,0.00,0.00,0,0.00,0.00,0,99999999,1000,2025-06-23 14:48:16.594505+00,90,597,151
239,6652.99,0.00,0.00,0,1.00,1.00,0,99999999,977,2024-11-21 19:35:33.048247+00,43,296,52
244,13410.50,0.00,0.00,0,1.00,1.00,0,99999999,831,2025-01-27 15:03:40.225469+00,45,190,55
353,24375.00,0.00,0.00,0,1.00,1.00,0,99999999,10000,2024-12-19 16:10:46.383217+00,59,440,101
309,22865.20,0.00,0.00,0,1.00,1.00,0,99999999,1000,2024-12-04 16:07:59.421889+00,54,625,73
403,7528.00,0.00,0.00,0,1.00,1.00,0,99999999,968,2025-07-21 13:55:44.411193+00,65,780,116
531,1775.00,0.00,0.00,0,0.00,0.00,0,99999999,1000,2025-06-23 14:51:08.284922+00,90,428,153
